t_seconds,rss_mb
0.019,757.00
0.284,761.87
0.553,832.80
0.817,912.39
1.086,905.01
1.356,899.67
1.623,930.11
1.888,980.46
2.157,945.70
2.425,981.12
2.690,946.40
2.958,981.63
3.225,975.41
3.501,1172.06
3.777,1077.61
4.047,1133.91
4.319,1194.08
4.586,1038.89
4.852,1099.18
5.122,1193.78
5.387,1114.88
5.657,1201.67
5.918,1253.78
6.181,1250.18
6.449,1061.55
6.716,1093.46
6.983,1123.81
7.252,1058.92
7.521,1094.20
7.788,1133.93
8.057,1120.59
8.325,1240.73
8.596,1148.58
8.868,1061.37
9.142,1202.43
9.414,1112.54
