t_seconds,rss_mb
0.011,245.56
0.269,306.29
0.527,490.02
0.785,574.79
1.045,688.80
1.304,773.43
1.564,833.18
1.822,826.27
2.082,942.39
2.342,1012.73
2.601,1138.03
2.859,1208.21
3.118,1092.27
3.382,1087.22
3.644,1126.05
3.902,994.93
4.159,970.30
4.418,1041.68
4.678,1036.92
4.938,1093.31
