t_seconds,rss_mb
0.018,20.96
0.284,70.91
0.550,91.29
0.817,113.67
1.082,134.48
1.348,156.55
1.613,175.30
1.880,194.23
2.144,210.93
2.410,235.98
2.677,243.22
2.941,243.27
3.210,207.22
3.476,207.37
3.743,207.37
4.008,207.37
4.273,207.37
4.540,207.37
4.805,207.37
5.073,207.37
5.337,207.37
5.600,207.37
5.866,207.37
6.133,207.37
6.399,207.36
6.668,207.37
6.939,207.37
7.211,207.34
7.479,209.99
7.746,209.99
8.013,209.99
8.281,209.99
8.548,209.99
8.817,209.95
9.082,209.99
9.349,209.99
9.613,209.99
9.883,209.99
10.153,209.99
10.421,209.99
10.685,209.99
10.954,209.99
11.220,209.99
11.510,209.94
