t_seconds,rss_mb
0.028,244.94
0.293,256.70
0.560,364.79
0.829,483.00
1.094,506.94
1.363,562.35
1.629,624.96
1.896,708.50
2.163,681.39
2.429,753.55
2.694,762.23
2.966,792.55
3.233,783.43
3.498,808.81
3.767,783.02
4.032,818.46
4.299,995.60
4.571,1149.58
4.836,985.15
5.103,1035.38
5.372,1100.16
5.643,1160.95
5.918,981.17
6.192,1052.13
6.465,1162.98
6.741,1008.29
7.008,1054.64
7.269,1065.91
7.536,1106.11
7.801,956.56
8.069,996.62
8.336,1027.19
8.603,967.87
8.873,1012.45
9.145,1143.35
9.413,1019.39
9.681,1156.54
9.954,1038.96
10.225,1175.91
10.493,1051.13
