t_seconds,rss_mb
0.010,105.91
0.267,146.70
0.524,173.18
0.781,149.67
1.039,149.78
1.295,149.78
1.555,149.78
1.812,149.78
2.069,149.78
2.327,149.78
2.584,149.78
2.840,149.78
3.098,149.78
3.354,149.78
3.611,149.78
3.868,149.78
4.127,149.86
4.383,149.86
4.651,149.82
4.908,151.33
5.167,153.73
5.425,153.73
5.681,153.73
5.939,153.73
6.199,153.76
6.457,153.76
6.719,153.76
6.978,153.76
7.236,153.76
7.494,153.76
7.754,153.75
8.011,153.75
8.268,153.75
8.525,153.75
8.781,153.75
